"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1950,"1949-12-14","New York Rangers","3","Chicago Black Hawks","5","","","","",0
1950,"1949-12-14","Montreal Canadiens","2","Toronto Maple Leafs","2","","","","",0
1950,"1949-12-15","Toronto Maple Leafs","1","Montreal Canadiens","4","","","","",0
1950,"1949-12-17","New York Rangers","3","Boston Bruins","1","","","","",0
1950,"1949-12-17","Detroit Red Wings","3","Montreal Canadiens","4","","","","",0
1950,"1949-12-17","Chicago Black Hawks","7","Toronto Maple Leafs","1","","","","",0
1950,"1949-12-18","Montreal Canadiens","1","Boston Bruins","3","","","","",0
1950,"1949-12-18","Detroit Red Wings","5","Chicago Black Hawks","3","","","","",0
1950,"1949-12-18","Toronto Maple Leafs","2","New York Rangers","0","","","","",0
1950,"1949-12-21","Boston Bruins","4","Chicago Black Hawks","1","","","","",0
1950,"1949-12-21","Toronto Maple Leafs","1","Detroit Red Wings","7","","","","",0
1950,"1949-12-21","Montreal Canadiens","1","New York Rangers","4","","","","",0
1950,"1949-12-24","New York Rangers","0","Montreal Canadiens","0","","","","",0
1950,"1949-12-24","Boston Bruins","8","Toronto Maple Leafs","4","","","","",0
1950,"1949-12-25","Chicago Black Hawks","4","Boston Bruins","4","","","","",0
1950,"1949-12-25","Montreal Canadiens","2","Detroit Red Wings","4","","","","",0
1950,"1949-12-25","Toronto Maple Leafs","1","New York Rangers","3","","","","",0
1950,"1949-12-28","Boston Bruins","2","Detroit Red Wings","2","","","","",0
1950,"1949-12-28","Chicago Black Hawks","2","New York Rangers","5","","","","",0
1950,"1949-12-28","Montreal Canadiens","1","Toronto Maple Leafs","1","","","","",0
1950,"1949-12-31","Chicago Black Hawks","2","Montreal Canadiens","3","","","","",0
1950,"1949-12-31","Boston Bruins","1","New York Rangers","4","","","","",0
1950,"1949-12-31","Detroit Red Wings","5","Toronto Maple Leafs","1","","","","",0
1950,"1950-01-01","New York Rangers","0","Boston Bruins","6","","","","",0
1950,"1950-01-01","Montreal Canadiens","1","Chicago Black Hawks","5","","","","",0
1950,"1950-01-01","Toronto Maple Leafs","0","Detroit Red Wings","5","","","","",0
1950,"1950-01-04","Detroit Red Wings","1","New York Rangers","2","","","","",0
1950,"1950-01-04","Chicago Black Hawks","4","Toronto Maple Leafs","4","","","","",0
1950,"1950-01-05","Boston Bruins","3","Montreal Canadiens","5","","","","",0
1950,"1950-01-07","New York Rangers","3","Montreal Canadiens","1","","","","",0
1950,"1950-01-07","Chicago Black Hawks","2","Toronto Maple Leafs","5","","","","",0
1950,"1950-01-08","Boston Bruins","4","Detroit Red Wings","3","","","","",0
1950,"1950-01-08","Chicago Black Hawks","1","New York Rangers","1","","","","",0
1950,"1950-01-10","Montreal Canadiens","7","Chicago Black Hawks","3","","","","",0
1950,"1950-01-11","Detroit Red Wings","1","Boston Bruins","2","","","","",0
1950,"1950-01-11","Toronto Maple Leafs","2","New York Rangers","1","","","","",0
1950,"1950-01-14","New York Rangers","2","Detroit Red Wings","4","","","","",0
1950,"1950-01-14","Chicago Black Hawks","0","Montreal Canadiens","3","","","","",0
1950,"1950-01-14","Boston Bruins","3","Toronto Maple Leafs","4","","","","",0
1950,"1950-01-15","Chicago Black Hawks","5","Boston Bruins","1","","","","",0
1950,"1950-01-15","Detroit Red Wings","1","New York Rangers","0","","","","",0
1950,"1950-01-18","Detroit Red Wings","5","Chicago Black Hawks","4","","","","",0
1950,"1950-01-18","Boston Bruins","4","New York Rangers","2","","","","",0
1950,"1950-01-18","Montreal Canadiens","1","Toronto Maple Leafs","0","","","","",0
1950,"1950-01-19","Toronto Maple Leafs","4","Montreal Canadiens","2","","","","",0
1950,"1950-01-21","Chicago Black Hawks","3","Detroit Red Wings","5","","","","",0
1950,"1950-01-21","Boston Bruins","1","Montreal Canadiens","3","","","","",0
1950,"1950-01-21","New York Rangers","1","Toronto Maple Leafs","2","","","","",0
1950,"1950-01-22","Montreal Canadiens","5","Boston Bruins","4","","","","",0
1950,"1950-01-22","New York Rangers","3","Chicago Black Hawks","4","","","","",0
1950,"1950-01-22","Toronto Maple Leafs","1","Detroit Red Wings","0","","","","",0
1950,"1950-01-25","Boston Bruins","4","Detroit Red Wings","4","","","","",0
1950,"1950-01-25","New York Rangers","1","Toronto Maple Leafs","5","","","","",0
1950,"1950-01-26","Boston Bruins","1","Chicago Black Hawks","5","","","","",0
1950,"1950-01-26","Detroit Red Wings","1","Montreal Canadiens","1","","","","",0
1950,"1950-01-28","New York Rangers","2","Boston Bruins","2","","","","",0
