"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1976,"1975-12-30","Kansas City Scouts","2","Vancouver Canucks","5","","","","",0
1976,"1975-12-31","Washington Capitals","0","Detroit Red Wings","4","","","","",0
1976,"1975-12-31","Boston Bruins","6","Minnesota North Stars","1","","","","",0
1976,"1975-12-31","Atlanta Flames","8","New York Rangers","1","","","","",0
1976,"1975-12-31","Los Angeles Kings","1","Pittsburgh Penguins","5","","","","",0
1976,"1976-01-01","Los Angeles Kings","9","Buffalo Sabres","6","","","","",0
1976,"1976-01-01","Philadelphia Flyers","4","Kansas City Scouts","2","","","","",0
1976,"1976-01-01","California Golden Seals","1","Toronto Maple Leafs","5","","","","",0
1976,"1976-01-02","St. Louis Blues","1","Atlanta Flames","7","","","","",0
1976,"1976-01-02","Boston Bruins","4","Vancouver Canucks","4","","","","",0
1976,"1976-01-02","California Golden Seals","8","Washington Capitals","5","","","","",0
1976,"1976-01-03","Atlanta Flames","6","Kansas City Scouts","4","","","","",0
1976,"1976-01-03","Boston Bruins","3","Los Angeles Kings","0","","","","",0
1976,"1976-01-03","Washington Capitals","0","Montreal Canadiens","7","","","","",0
1976,"1976-01-03","Chicago Black Hawks","1","New York Islanders","1","","","","",0
1976,"1976-01-03","Philadelphia Flyers","8","Pittsburgh Penguins","4","","","","",0
1976,"1976-01-03","Minnesota North Stars","2","St. Louis Blues","3","","","","",0
1976,"1976-01-03","Detroit Red Wings","1","Toronto Maple Leafs","0","","","","",0
1976,"1976-01-04","Pittsburgh Penguins","3","Chicago Black Hawks","5","","","","",0
1976,"1976-01-04","Vancouver Canucks","4","Detroit Red Wings","3","","","","",0
1976,"1976-01-04","Toronto Maple Leafs","8","New York Rangers","6","","","","",0
1976,"1976-01-04","New York Islanders","3","Philadelphia Flyers","5","","","","",0
1976,"1976-01-05","Buffalo Sabres","4","Montreal Canadiens","2","","","","",0
1976,"1976-01-06","Detroit Red Wings","3","Atlanta Flames","4","","","","",0
1976,"1976-01-06","Kansas City Scouts","1","New York Islanders","8","","","","",0
1976,"1976-01-06","New York Rangers","2","St. Louis Blues","5","","","","",0
1976,"1976-01-06","Vancouver Canucks","5","Washington Capitals","3","","","","",0
1976,"1976-01-07","Pittsburgh Penguins","1","California Golden Seals","4","","","","",0
1976,"1976-01-07","Los Angeles Kings","5","Kansas City Scouts","2","","","","",0
1976,"1976-01-07","Montreal Canadiens","2","Minnesota North Stars","1","","","","",0
1976,"1976-01-07","Philadelphia Flyers","7","Toronto Maple Leafs","3","","","","",0
1976,"1976-01-08","Vancouver Canucks","5","Buffalo Sabres","8","","","","",0
1976,"1976-01-08","Minnesota North Stars","0","Detroit Red Wings","5","","","","",0
1976,"1976-01-08","Toronto Maple Leafs","5","New York Islanders","3","","","","",0
1976,"1976-01-08","Los Angeles Kings","4","Philadelphia Flyers","6","","","","",0
1976,"1976-01-08","Washington Capitals","2","St. Louis Blues","4","","","","",0
1976,"1976-01-09","Chicago Black Hawks","1","Atlanta Flames","1","","","","",0
1976,"1976-01-09","California Golden Seals","5","Washington Capitals","0","","","","",0
1976,"1976-01-10","California Golden Seals","2","Boston Bruins","3","","","","",0
1976,"1976-01-10","New York Rangers","8","Kansas City Scouts","4","","","","",0
1976,"1976-01-10","St. Louis Blues","0","Minnesota North Stars","2","","","","",0
1976,"1976-01-10","Detroit Red Wings","1","Montreal Canadiens","7","","","","",0
1976,"1976-01-10","Vancouver Canucks","3","Pittsburgh Penguins","3","","","","",0
1976,"1976-01-10","Los Angeles Kings","3","Toronto Maple Leafs","4","","","","",0
1976,"1976-01-11","Vancouver Canucks","2","Atlanta Flames","5","","","","",0
1976,"1976-01-11","Pittsburgh Penguins","0","Buffalo Sabres","6","","","","",0
1976,"1976-01-11","New York Rangers","6","Chicago Black Hawks","2","","","","",0
1976,"1976-01-11","Toronto Maple Leafs","0","Montreal Canadiens","2","","","","",0
1976,"1976-01-11","Boston Bruins","7","Washington Capitals","4","","","","",0
1976,"1976-01-13","Los Angeles Kings","3","Atlanta Flames","0","","","","",0
1976,"1976-01-13","Pittsburgh Penguins","2","Boston Bruins","6","","","","",0
1976,"1976-01-13","Detroit Red Wings","0","New York Islanders","1","","","","",0
1976,"1976-01-13","Buffalo Sabres","3","St. Louis Blues","7","","","","",0
1976,"1976-01-13","Montreal Canadiens","3","Washington Capitals","2","","","","",0
1976,"1976-01-14","Chicago Black Hawks","2","California Golden Seals","2","","","","",0
1976,"1976-01-14","Kansas City Scouts","3","Detroit Red Wings","8","","","","",0
1976,"1976-01-14","Toronto Maple Leafs","6","Minnesota North Stars","5","","","","",0
1976,"1976-01-14","New York Rangers","1","Vancouver Canucks","5","","","","",0
1976,"1976-01-15","St. Louis Blues","5","Atlanta Flames","3","","","","",0
1976,"1976-01-15","Los Angeles Kings","0","Boston Bruins","4","","","","",0
1976,"1976-01-15","Washington Capitals","3","Buffalo Sabres","5","","","","",0
1976,"1976-01-15","Toronto Maple Leafs","6","Kansas City Scouts","4","","","","",0
1976,"1976-01-15","Pittsburgh Penguins","1","Philadelphia Flyers","4","","","","",0
1976,"1976-01-16","New York Rangers","0","California Golden Seals","7","","","","",0
1976,"1976-01-16","Chicago Black Hawks","2","Vancouver Canucks","1","","","","",0
1976,"1976-01-17","Toronto Maple Leafs","4","Detroit Red Wings","4","","","","",0
1976,"1976-01-17","Philadelphia Flyers","7","Kansas City Scouts","1","","","","",0
1976,"1976-01-17","Washington Capitals","3","Minnesota North Stars","7","","","","",0
1976,"1976-01-17","Los Angeles Kings","2","Montreal Canadiens","4","","","","",0
1976,"1976-01-17","Atlanta Flames","2","New York Islanders","2","","","","",0
1976,"1976-01-17","Buffalo Sabres","2","Pittsburgh Penguins","3","","","","",0
1976,"1976-01-17","Boston Bruins","5","St. Louis Blues","7","","","","",0
1976,"1976-01-17","California Golden Seals","5","Vancouver Canucks","3","","","","",0
1976,"1976-01-18","Minnesota North Stars","1","Buffalo Sabres","4","","","","",0
1976,"1976-01-18","Philadelphia Flyers","0","Chicago Black Hawks","2","","","","",0
1976,"1976-01-18","Los Angeles Kings","8","Detroit Red Wings","3","","","","",0
1976,"1976-01-18","Atlanta Flames","2","Montreal Canadiens","4","","","","",0
1976,"1976-01-18","New York Rangers","3","Pittsburgh Penguins","8","","","","",0
1976,"1976-01-21","St. Louis Blues","4","Kansas City Scouts","2","","","","",0
1976,"1976-01-21","Vancouver Canucks","1","Minnesota North Stars","5","","","","",0
1976,"1976-01-21","Chicago Black Hawks","3","New York Rangers","3","","","","",0
1976,"1976-01-21","New York Islanders","5","Washington Capitals","2","","","","",0
1976,"1976-01-22","Buffalo Sabres","3","Boston Bruins","5","","","","",0
1976,"1976-01-22","Toronto Maple Leafs","3","Los Angeles Kings","6","","","","",0
1976,"1976-01-22","Detroit Red Wings","1","New York Islanders","8","","","","",0
1976,"1976-01-22","Atlanta Flames","2","Philadelphia Flyers","7","","","","",0
1976,"1976-01-22","Montreal Canadiens","4","Pittsburgh Penguins","3","","","","",0
1976,"1976-01-23","Buffalo Sabres","3","Atlanta Flames","3","","","","",0
1976,"1976-01-23","Kansas City Scouts","1","California Golden Seals","4","","","","",0
1976,"1976-01-23","Minnesota North Stars","3","Vancouver Canucks","8","","","","",0
1976,"1976-01-23","New York Rangers","5","Washington Capitals","7","","","","",0
1976,"1976-01-24","Boston Bruins","6","Detroit Red Wings","1","","","","",0
1976,"1976-01-24","Philadelphia Flyers","3","Montreal Canadiens","5","","","","",0
1976,"1976-01-24","Los Angeles Kings","0","New York Islanders","5","","","","",0
1976,"1976-01-24","Washington Capitals","2","Pittsburgh Penguins","8","","","","",0
1976,"1976-01-24","Chicago Black Hawks","2","St. Louis Blues","1","","","","",0
1976,"1976-01-24","Toronto Maple Leafs","5","Vancouver Canucks","5","","","","",0
1976,"1976-01-25","Philadelphia Flyers","3","Boston Bruins","5","","","","",0
1976,"1976-01-25","St. Louis Blues","2","Buffalo Sabres","4","","","","",0
1976,"1976-01-25","Kansas City Scouts","1","Chicago Black Hawks","3","","","","",0
1976,"1976-01-25","Toronto Maple Leafs","3","California Golden Seals","5","","","","",0
1976,"1976-01-25","Montreal Canadiens","3","Detroit Red Wings","3","","","","",0
1976,"1976-01-25","Los Angeles Kings","4","New York Rangers","1","","","","",0
1976,"1976-01-25","Minnesota North Stars","1","Pittsburgh Penguins","1","","","","",0
1976,"1976-01-27","Philadelphia Flyers","4","Atlanta Flames","8","","","","",0
1976,"1976-01-27","Washington Capitals","0","Los Angeles Kings","2","","","","",0
1976,"1976-01-27","Minnesota North Stars","3","New York Islanders","4","","","","",0
1976,"1976-01-27","Detroit Red Wings","3","St. Louis Blues","2","","","","",0
1976,"1976-01-27","Montreal Canadiens","2","Vancouver Canucks","2","","","","",0
1976,"1976-01-28","Atlanta Flames","3","Chicago Black Hawks","7","","","","",0
1976,"1976-01-28","Washington Capitals","4","California Golden Seals","2","","","","",0
1976,"1976-01-28","Kansas City Scouts","3","Minnesota North Stars","9","","","","",0
1976,"1976-01-28","Buffalo Sabres","3","New York Rangers","3","","","","",0
1976,"1976-01-28","New York Islanders","3","Toronto Maple Leafs","2","","","","",0
1976,"1976-01-29","Chicago Black Hawks","3","Boston Bruins","5","","","","",0
1976,"1976-01-29","Philadelphia Flyers","1","Buffalo Sabres","1","","","","",0
1976,"1976-01-29","Detroit Red Wings","3","Los Angeles Kings","3","","","","",0
1976,"1976-01-29","Kansas City Scouts","2","Pittsburgh Penguins","6","","","","",0
1976,"1976-01-29","New York Rangers","6","St. Louis Blues","3","","","","",0
1976,"1976-01-30","Boston Bruins","4","Atlanta Flames","2","","","","",0
1976,"1976-01-30","Montreal Canadiens","5","California Golden Seals","4","","","","",0
1976,"1976-01-30","Washington Capitals","2","Vancouver Canucks","4","","","","",0
1976,"1976-01-31","Chicago Black Hawks","1","Detroit Red Wings","2","","","","",0
1976,"1976-01-31","Pittsburgh Penguins","4","Kansas City Scouts","4","","","","",0
1976,"1976-01-31","Montreal Canadiens","3","Los Angeles Kings","7","","","","",0
1976,"1976-01-31","Philadelphia Flyers","3","Minnesota North Stars","3","","","","",0
1976,"1976-01-31","New York Islanders","2","St. Louis Blues","2","","","","",0
1976,"1976-01-31","New York Rangers","4","Toronto Maple Leafs","6","","","","",0
1976,"1976-02-01","Atlanta Flames","3","Boston Bruins","5","","","","",0
1976,"1976-02-01","Vancouver Canucks","3","Chicago Black Hawks","2","","","","",0
1976,"1976-02-01","Buffalo Sabres","9","California Golden Seals","5","","","","",0
1976,"1976-02-01","Minnesota North Stars","2","New York Rangers","3","","","","",0
1976,"1976-02-01","Toronto Maple Leafs","1","Pittsburgh Penguins","7","","","","",0
1976,"1976-02-03","Atlanta Flames","2","New York Islanders","2","","","","",0
1976,"1976-02-03","California Golden Seals","4","St. Louis Blues","4","","","","",0
1976,"1976-02-03","Buffalo Sabres","1","Vancouver Canucks","2","","","","",0
1976,"1976-02-04","California Golden Seals","1","Atlanta Flames","4","","","","",0
1976,"1976-02-04","Minnesota North Stars","0","Detroit Red Wings","5","","","","",0
1976,"1976-02-04","St. Louis Blues","3","Kansas City Scouts","3","","","","",0
1976,"1976-02-04","Buffalo Sabres","4","Los Angeles Kings","3","","","","",0
1976,"1976-02-04","Chicago Black Hawks","3","Montreal Canadiens","8","","","","",0
1976,"1976-02-04","New York Islanders","6","New York Rangers","5","","","","",0
1976,"1976-02-04","Washington Capitals","4","Toronto Maple Leafs","4","","","","",0
1976,"1976-02-05","Pittsburgh Penguins","1","Boston Bruins","5","","","","",0
1976,"1976-02-05","Vancouver Canucks","1","Philadelphia Flyers","6","","","","",0
1976,"1976-02-06","Chicago Black Hawks","2","Atlanta Flames","1","","","","",0
1976,"1976-02-06","New York Islanders","3","Detroit Red Wings","4","","","","",0
1976,"1976-02-06","California Golden Seals","1","Montreal Canadiens","7","","","","",0
1976,"1976-02-06","Vancouver Canucks","3","St. Louis Blues","5","","","","",0
1976,"1976-02-07","New York Rangers","5","Detroit Red Wings","4","","","","",0
1976,"1976-02-07","Washington Capitals","1","Kansas City Scouts","5","","","","",0
1976,"1976-02-07","Pittsburgh Penguins","7","Los Angeles Kings","3","","","","",0
1976,"1976-02-07","Buffalo Sabres","4","Minnesota North Stars","3","","","","",0
1976,"1976-02-07","St. Louis Blues","2","Philadelphia Flyers","8","","","","",0
1976,"1976-02-07","Boston Bruins","4","Toronto Maple Leafs","11","","","","",0
1976,"1976-02-08","Detroit Red Wings","0","Boston Bruins","7","","","","",0
1976,"1976-02-08","California Golden Seals","5","Buffalo Sabres","5","","","","",0
1976,"1976-02-08","Washington Capitals","2","Chicago Black Hawks","4","","","","",0
1976,"1976-02-08","Montreal Canadiens","3","New York Rangers","0","","","","",0
1976,"1976-02-08","New York Islanders","2","Philadelphia Flyers","4","","","","",0
1976,"1976-02-08","Minnesota North Stars","1","Toronto Maple Leafs","4","","","","",0
1976,"1976-02-08","Pittsburgh Penguins","7","Vancouver Canucks","3","","","","",0
1976,"1976-02-10","St. Louis Blues","1","Montreal Canadiens","6","","","","",0
1976,"1976-02-10","New York Islanders","2","Vancouver Canucks","3","","","","",0
1976,"1976-02-10","Los Angeles Kings","2","Washington Capitals","2","","","","",0
1976,"1976-02-11","Toronto Maple Leafs","2","Atlanta Flames","5","","","","",0
1976,"1976-02-11","Detroit Red Wings","2","Buffalo Sabres","4","","","","",0
1976,"1976-02-11","Los Angeles Kings","7","Chicago Black Hawks","4","","","","",0
1976,"1976-02-11","Pittsburgh Penguins","4","California Golden Seals","4","","","","",0
1976,"1976-02-11","Boston Bruins","5","Minnesota North Stars","2","","","","",0
1976,"1976-02-12","New York Islanders","2","Kansas City Scouts","2","","","","",0
1976,"1976-02-12","Vancouver Canucks","6","Montreal Canadiens","4","","","","",0
1976,"1976-02-12","New York Rangers","1","Philadelphia Flyers","6","","","","",0
1976,"1976-02-13","Buffalo Sabres","3","Atlanta Flames","2","","","","",0
1976,"1976-02-13","Boston Bruins","6","California Golden Seals","5","","","","",0
1976,"1976-02-13","Philadelphia Flyers","5","New York Rangers","3","","","","",0
1976,"1976-02-13","St. Louis Blues","2","Washington Capitals","0","","","","",0
1976,"1976-02-14","Chicago Black Hawks","5","Kansas City Scouts","4","","","","",0
1976,"1976-02-14","Detroit Red Wings","3","Minnesota North Stars","2","","","","",0
1976,"1976-02-14","Los Angeles Kings","2","Montreal Canadiens","2","","","","",0
1976,"1976-02-14","Pittsburgh Penguins","4","New York Islanders","4","","","","",0
1976,"1976-02-14","Atlanta Flames","3","St. Louis Blues","5","","","","",0
1976,"1976-02-14","Vancouver Canucks","4","Toronto Maple Leafs","3","","","","",0
1976,"1976-02-15","New York Islanders","3","Buffalo Sabres","1","","","","",0
1976,"1976-02-15","Boston Bruins","4","Chicago Black Hawks","1","","","","",0
1976,"1976-02-15","California Golden Seals","7","Minnesota North Stars","3","","","","",0
1976,"1976-02-15","Kansas City Scouts","1","New York Rangers","5","","","","",0
1976,"1976-02-15","Montreal Canadiens","1","Philadelphia Flyers","2","","","","",0
1976,"1976-02-15","Los Angeles Kings","4","Pittsburgh Penguins","6","","","","",0
1976,"1976-02-15","Detroit Red Wings","5","Washington Capitals","8","","","","",0
1976,"1976-02-16","California Golden Seals","2","St. Louis Blues","4","","","","",0
1976,"1976-02-16","Toronto Maple Leafs","5","Washington Capitals","1","","","","",0
1976,"1976-02-17","Minnesota North Stars","1","Los Angeles Kings","2","","","","",0
1976,"1976-02-17","New York Rangers","3","New York Islanders","1","","","","",0
1976,"1976-02-17","Kansas City Scouts","1","Pittsburgh Penguins","6","","","","",0
1976,"1976-02-17","Philadelphia Flyers","2","Vancouver Canucks","2","","","","",0
1976,"1976-02-18","Buffalo Sabres","4","Chicago Black Hawks","4","","","","",0
1976,"1976-02-18","Minnesota North Stars","3","California Golden Seals","6","","","","",0
1976,"1976-02-18","New York Islanders","5","Detroit Red Wings","3","","","","",0
1976,"1976-02-18","Boston Bruins","3","Kansas City Scouts","3","","","","",0
1976,"1976-02-18","St. Louis Blues","2","Los Angeles Kings","2","","","","",0
1976,"1976-02-18","Washington Capitals","4","New York Rangers","11","","","","",0
1976,"1976-02-18","Montreal Canadiens","7","Toronto Maple Leafs","5","","","","",0
1976,"1976-02-18","Philadelphia Flyers","6","Vancouver Canucks","4","","","","",0
1976,"1976-02-19","Atlanta Flames","1","Buffalo Sabres","3","","","","",0
1976,"1976-02-19","Toronto Maple Leafs","5","Pittsburgh Penguins","7","","","","",0
1976,"1976-02-20","Philadelphia Flyers","5","California Golden Seals","4","","","","",0
1976,"1976-02-20","Atlanta Flames","3","Kansas City Scouts","1","","","","",0
1976,"1976-02-20","New York Rangers","3","Montreal Canadiens","5","","","","",0
1976,"1976-02-20","Minnesota North Stars","0","Vancouver Canucks","7","","","","",0
1976,"1976-02-21","Washington Capitals","5","Detroit Red Wings","1","","","","",0
1976,"1976-02-21","Philadelphia Flyers","3","Los Angeles Kings","3","","","","",0
1976,"1976-02-21","Boston Bruins","2","New York Islanders","1","","","","",0
1976,"1976-02-21","Chicago Black Hawks","1","Pittsburgh Penguins","10","","","","",0
1976,"1976-02-21","Buffalo Sabres","4","Toronto Maple Leafs","6","","","","",0
1976,"1976-02-21","St. Louis Blues","4","Vancouver Canucks","5","","","","",0
1976,"1976-02-22","Montreal Canadiens","4","Buffalo Sabres","2","","","","",0
1976,"1976-02-22","California Golden Seals","5","Chicago Black Hawks","2","","","","",0
1976,"1976-02-22","Pittsburgh Penguins","2","Detroit Red Wings","2","","","","",0
1976,"1976-02-22","Minnesota North Stars","6","Kansas City Scouts","3","","","","",0
1976,"1976-02-22","Boston Bruins","5","New York Rangers","2","","","","",0
1976,"1976-02-22","New York Islanders","4","Washington Capitals","0","","","","",0
1976,"1976-02-23","Atlanta Flames","1","Toronto Maple Leafs","7","","","","",0
1976,"1976-02-24","New York Islanders","7","Minnesota North Stars","2","","","","",0
1976,"1976-02-24","Montreal Canadiens","6","St. Louis Blues","2","","","","",0
1976,"1976-02-24","Chicago Black Hawks","4","Vancouver Canucks","1","","","","",0
1976,"1976-02-24","Philadelphia Flyers","5","Washington Capitals","5","","","","",0
1976,"1976-02-25","Montreal Canadiens","3","Kansas City Scouts","1","","","","",0
1976,"1976-02-25","California Golden Seals","6","New York Rangers","4","","","","",0
1976,"1976-02-25","Atlanta Flames","3","Pittsburgh Penguins","3","","","","",0
1976,"1976-02-25","Detroit Red Wings","0","Toronto Maple Leafs","8","","","","",0
1976,"1976-02-26","St. Louis Blues","2","Boston Bruins","4","","","","",0
1976,"1976-02-26","Toronto Maple Leafs","2","Buffalo Sabres","5","","","","",0
1976,"1976-02-26","California Golden Seals","1","Detroit Red Wings","1","","","","",0
1976,"1976-02-26","Chicago Black Hawks","6","Los Angeles Kings","2","","","","",0
1976,"1976-02-26","Kansas City Scouts","2","New York Islanders","2","","","","",0
1976,"1976-02-26","Minnesota North Stars","2","Philadelphia Flyers","3","","","","",0
1976,"1976-02-27","Boston Bruins","3","Washington Capitals","3","","","","",0
1976,"1976-02-28","Los Angeles Kings","3","Detroit Red Wings","1","","","","",0
1976,"1976-02-28","Buffalo Sabres","4","Kansas City Scouts","4","","","","",0
1976,"1976-02-28","New York Rangers","3","Minnesota North Stars","5","","","","",0
1976,"1976-02-28","Atlanta Flames","2","Montreal Canadiens","3","","","","",0
1976,"1976-02-28","Chicago Black Hawks","1","New York Islanders","4","","","","",0
1976,"1976-02-28","Vancouver Canucks","4","Pittsburgh Penguins","5","","","","",0
1976,"1976-02-28","Philadelphia Flyers","2","St. Louis Blues","2","","","","",0
1976,"1976-02-28","California Golden Seals","2","Toronto Maple Leafs","4","","","","",0
1976,"1976-02-29","Vancouver Canucks","3","Boston Bruins","5","","","","",0
1976,"1976-02-29","Los Angeles Kings","1","Buffalo Sabres","5","","","","",0
1976,"1976-02-29","Montreal Canadiens","1","New York Rangers","1","","","","",0
1976,"1976-02-29","California Golden Seals","1","Philadelphia Flyers","6","","","","",0
1976,"1976-02-29","St. Louis Blues","5","Pittsburgh Penguins","3","","","","",0
1976,"1976-02-29","Chicago Black Hawks","1","Washington Capitals","4","","","","",0
1976,"1976-03-01","Minnesota North Stars","2","Toronto Maple Leafs","4","","","","",0
1976,"1976-03-02","Pittsburgh Penguins","6","Minnesota North Stars","2","","","","",0
1976,"1976-03-02","California Golden Seals","1","New York Islanders","2","","","","",0
1976,"1976-03-03","Detroit Red Wings","3","Atlanta Flames","2","","","","",0
1976,"1976-03-03","Boston Bruins","5","Los Angeles Kings","3","","","","",0
1976,"1976-03-03","California Golden Seals","2","Montreal Canadiens","4","","","","",0
1976,"1976-03-03","Vancouver Canucks","3","New York Rangers","3","","","","",0
1976,"1976-03-03","Toronto Maple Leafs","4","St. Louis Blues","1","","","","",0
1976,"1976-03-04","Chicago Black Hawks","3","Buffalo Sabres","6","","","","",0
1976,"1976-03-04","Philadelphia Flyers","6","Kansas City Scouts","1","","","","",0
1976,"1976-03-04","Vancouver Canucks","3","New York Islanders","3","","","","",0
1976,"1976-03-05","New York Rangers","3","Atlanta Flames","8","","","","",0
1976,"1976-03-05","Boston Bruins","3","California Golden Seals","4","","","","",0
1976,"1976-03-06","Vancouver Canucks","5","Kansas City Scouts","3","","","","",0
1976,"1976-03-06","Toronto Maple Leafs","4","Los Angeles Kings","1","","","","",0
1976,"1976-03-06","Buffalo Sabres","2","Montreal Canadiens","3","","","","",0
1976,"1976-03-06","Washington Capitals","3","New York Islanders","6","","","","",0
1976,"1976-03-06","Detroit Red Wings","1","Philadelphia Flyers","6","","","","",0
1976,"1976-03-06","Minnesota North Stars","0","Pittsburgh Penguins","5","","","","",0
1976,"1976-03-06","Chicago Black Hawks","4","St. Louis Blues","7","","","","",0
1976,"1976-03-07","Washington Capitals","3","Boston Bruins","4","","","","",0
1976,"1976-03-07","St. Louis Blues","4","Buffalo Sabres","4","","","","",0
1976,"1976-03-07","Toronto Maple Leafs","7","California Golden Seals","7","","","","",0
1976,"1976-03-07","Montreal Canadiens","6","Detroit Red Wings","1","","","","",0
1976,"1976-03-07","Vancouver Canucks","4","Minnesota North Stars","3","","","","",0
1976,"1976-03-07","Atlanta Flames","6","New York Rangers","6","","","","",0
1976,"1976-03-07","Kansas City Scouts","1","Philadelphia Flyers","4","","","","",0
1976,"1976-03-07","New York Islanders","5","Pittsburgh Penguins","3","","","","",0
1976,"1976-03-09","Boston Bruins","0","Atlanta Flames","9","","","","",0
1976,"1976-03-09","Vancouver Canucks","1","Los Angeles Kings","6","","","","",0
1976,"1976-03-09","St. Louis Blues","0","New York Islanders","4","","","","",0
1976,"1976-03-10","Montreal Canadiens","5","Chicago Black Hawks","1","","","","",0
1976,"1976-03-10","Detroit Red Wings","3","California Golden Seals","4","","","","",0
1976,"1976-03-10","Atlanta Flames","4","Minnesota North Stars","1","","","","",0
1976,"1976-03-10","Buffalo Sabres","7","Pittsburgh Penguins","6","","","","",0
1976,"1976-03-10","St. Louis Blues","2","Toronto Maple Leafs","2","","","","",0
1976,"1976-03-10","Kansas City Scouts","1","Vancouver Canucks","3","","","","",0
1976,"1976-03-11","Toronto Maple Leafs","2","Boston Bruins","6","","","","",0
1976,"1976-03-11","New York Rangers","3","Los Angeles Kings","4","","","","",0
1976,"1976-03-11","Buffalo Sabres","1","Philadelphia Flyers","6","","","","",0
1976,"1976-03-12","Washington Capitals","1","Atlanta Flames","4","","","","",0
1976,"1976-03-13","Detroit Red Wings","4","Los Angeles Kings","1","","","","",0
1976,"1976-03-13","Chicago Black Hawks","4","Minnesota North Stars","1","","","","",0
1976,"1976-03-13","Boston Bruins","2","Montreal Canadiens","4","","","","",0
1976,"1976-03-13","California Golden Seals","2","Pittsburgh Penguins","4","","","","",0
1976,"1976-03-13","Kansas City Scouts","3","St. Louis Blues","5","","","","",0
1976,"1976-03-13","New York Islanders","2","Toronto Maple Leafs","2","","","","",0
1976,"1976-03-13","New York Rangers","7","Vancouver Canucks","3","","","","",0
1976,"1976-03-14","California Golden Seals","2","Boston Bruins","4","","","","",0
1976,"1976-03-14","New York Islanders","5","Chicago Black Hawks","3","","","","",0
1976,"1976-03-14","Buffalo Sabres","8","Minnesota North Stars","2","","","","",0
1976,"1976-03-14","Washington Capitals","1","Montreal Canadiens","5","","","","",0
1976,"1976-03-14","Atlanta Flames","1","Philadelphia Flyers","6","","","","",0
1976,"1976-03-14","St. Louis Blues","1","Pittsburgh Penguins","7","","","","",0
1976,"1976-03-16","Philadelphia Flyers","4","Atlanta Flames","2","","","","",0
1976,"1976-03-16","Chicago Black Hawks","6","Kansas City Scouts","3","","","","",0
1976,"1976-03-16","Buffalo Sabres","4","Los Angeles Kings","2","","","","",0
1976,"1976-03-16","Pittsburgh Penguins","4","Montreal Canadiens","5","","","","",0
1976,"1976-03-16","Minnesota North Stars","3","New York Islanders","1","","","","",0
1976,"1976-03-16","Boston Bruins","3","St. Louis Blues","3","","","","",0
1976,"1976-03-16","Detroit Red Wings","2","Vancouver Canucks","4","","","","",0
1976,"1976-03-16","New York Rangers","2","Washington Capitals","5","","","","",0
1976,"1976-03-17","Toronto Maple Leafs","5","Chicago Black Hawks","6","","","","",0
1976,"1976-03-17","Buffalo Sabres","5","California Golden Seals","3","","","","",0
1976,"1976-03-17","Minnesota North Stars","1","New York Rangers","3","","","","",0
1976,"1976-03-18","St. Louis Blues","3","Detroit Red Wings","6","","","","",0
1976,"1976-03-18","Boston Bruins","5","Kansas City Scouts","2","","","","",0
1976,"1976-03-18","Vancouver Canucks","2","Philadelphia Flyers","3","","","","",0
1976,"1976-03-19","Vancouver Canucks","2","Atlanta Flames","2","","","","",0
1976,"1976-03-19","Montreal Canadiens","4","California Golden Seals","1","","","","",0
1976,"1976-03-19","Pittsburgh Penguins","7","Washington Capitals","3","","","","",0
1976,"1976-03-20","New York Rangers","1","Boston Bruins","8","","","","",0
1976,"1976-03-20","Philadelphia Flyers","2","Detroit Red Wings","4","","","","",0
1976,"1976-03-20","California Golden Seals","2","Kansas City Scouts","2","","","","",0
1976,"1976-03-20","Montreal Canadiens","3","Los Angeles Kings","4","","","","",0
1976,"1976-03-20","Chicago Black Hawks","2","New York Islanders","4","","","","",0
1976,"1976-03-20","Washington Capitals","3","Toronto Maple Leafs","7","","","","",0
1976,"1976-03-21","Kansas City Scouts","1","Buffalo Sabres","3","","","","",0
1976,"1976-03-21","Detroit Red Wings","6","Chicago Black Hawks","0","","","","",0
1976,"1976-03-21","Los Angeles Kings","4","Minnesota North Stars","4","","","","",0
1976,"1976-03-21","Pittsburgh Penguins","4","New York Rangers","2","","","","",0
1976,"1976-03-21","Toronto Maple Leafs","2","Philadelphia Flyers","4","","","","",0
1976,"1976-03-21","St. Louis Blues","5","Vancouver Canucks","2","","","","",0
1976,"1976-03-22","St. Louis Blues","1","California Golden Seals","7","","","","",0
1976,"1976-03-23","Philadelphia Flyers","3","Minnesota North Stars","3","","","","",0
1976,"1976-03-23","New York Islanders","2","Vancouver Canucks","5","","","","",0
1976,"1976-03-23","Kansas City Scouts","5","Washington Capitals","5","","","","",0
1976,"1976-03-24","New York Rangers","3","Buffalo Sabres","7","","","","",0
1976,"1976-03-24","Atlanta Flames","7","Chicago Black Hawks","2","","","","",0
1976,"1976-03-24","Washington Capitals","3","Detroit Red Wings","7","","","","",0
1976,"1976-03-24","Minnesota North Stars","4","Kansas City Scouts","1","","","","",0
1976,"1976-03-24","New York Islanders","1","Los Angeles Kings","1","","","","",0
1976,"1976-03-24","Toronto Maple Leafs","2","Montreal Canadiens","1","","","","",0
1976,"1976-03-24","Boston Bruins","5","Pittsburgh Penguins","5","","","","",0
1976,"1976-03-25","Chicago Black Hawks","2","Boston Bruins","4","","","","",0
